submissionId,userId,userName,projectName,firstLine,month,day,currentWeekOfIso,targetYear,reviewerDecision
cmqqxvyco0095kj72y86rw16n,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),11/7.  No change.,11,7,2025-11-18T22:00:00.000Z,2025,
cmqqxvybs008rkj72rot19mv8,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),4/11.  Journeyman Software Analyst – 1 FTE to ESSET contract request was withdrawn/not approved,4,11,2025-04-22T21:00:00.000Z,2025,
cmqqxvybx008tkj728ur4y9jq,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),6/17.  EUSD request for VTC in RTP N-227,6,17,2025-06-17T21:00:00.000Z,2025,
cmqqxvyc1008vkj72rf42cg9i,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),8/12.  EUSD request for Nutanix nodes in service VDI - approved 8/28,8,12,2025-08-12T21:00:00.000Z,2025,
cmqqxvyc6008xkj72ulmuew9r,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),8/26.  No change.,8,26,2025-08-26T21:00:00.000Z,2025,
cmqqxvyca008zkj72ieakggal,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),9/12.  No change.,9,12,2025-09-23T21:00:00.000Z,2025,
cmqqxvycf0091kj72wrc9gixt,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),9/24.  RTP SCIF,9,24,2025-10-07T21:00:00.000Z,2025,
cmqqytdyl00b5stjk1xqbxz0e,import-garrett-hayes,Garrett Hayes,GAVETS 2,01/05: High-level transition kickoff meeting held 12/15. Both ITOD TPOC and current TPOC were out of office 12/19 - 01/05. Detailed transition meetings scheduled to begin week of 01/05. Official transition date has not yet been finalized.,1,5,2025-01-14T22:00:00.000Z,2025,
cmqqytdyw00b7stjkrr536nds,import-garrett-hayes,Garrett Hayes,GAVETS 2,01/29:,1,29,2025-02-11T22:00:00.000Z,2025,
cmqqytdz800b9stjk4v0xubqu,import-garrett-hayes,Garrett Hayes,GAVETS 2,02/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqytdya00b3stjki6ba8xw8,import-garrett-hayes,Garrett Hayes,GAVETS 2,02/24:,2,24,2025-02-25T22:00:00.000Z,2025,
cmqqytdy000b1stjkp1fcz8jm,import-garrett-hayes,Garrett Hayes,GAVETS 2,03/10:,3,10,2025-03-11T21:00:00.000Z,2025,
cmqqytdxq00azstjksbjv7ry6,import-garrett-hayes,Garrett Hayes,GAVETS 2,03/25:,3,25,2025-03-25T21:00:00.000Z,2025,
cmqqytdx000avstjkk5upppee,import-garrett-hayes,Garrett Hayes,GAVETS 2,04/21:,4,21,2025-04-22T21:00:00.000Z,2025,
cmqqytdwn00atstjk2vfdq5di,import-garrett-hayes,Garrett Hayes,GAVETS 2,05/05:,5,5,2025-05-06T21:00:00.000Z,2025,
cmqqytdwc00arstjkzmqq5n63,import-garrett-hayes,Garrett Hayes,GAVETS 2,05/19:,5,19,2025-05-20T21:00:00.000Z,2025,
cmqqytdw000apstjkmcnqnku8,import-garrett-hayes,Garrett Hayes,GAVETS 2,06/02:,6,2,2025-06-03T21:00:00.000Z,2025,
cmqqytdvp00anstjk7vxfkdvc,import-garrett-hayes,Garrett Hayes,GAVETS 2,06/16:,6,16,2025-06-17T21:00:00.000Z,2025,
cmqqytdxe00axstjkbkwc695v,import-garrett-hayes,Garrett Hayes,GAVETS 2,4/07:,4,7,2025-04-08T21:00:00.000Z,2025,
cmqqytf6400hzstjk3sin8e6y,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,03/27:,3,27,2025-04-08T21:00:00.000Z,2025,
cmqqytf5g00hvstjkwyn5dmpg,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,04/23:,4,23,2025-05-06T21:00:00.000Z,2025,
cmqqytf5500htstjkqw5dcc5s,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,04/30:,4,30,2025-05-06T21:00:00.000Z,2025,
cmqqytf4500hnstjkn8aaypmr,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,05/29:,5,29,2025-06-03T21:00:00.000Z,2025,
cmqqytf3i00hjstjkli5lqfdg,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,06/02:,6,2,2025-06-03T21:00:00.000Z,2025,
cmqqytf3700hhstjk0jt0iesr,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,06/18:,6,18,2025-07-01T21:00:00.000Z,2025,
cmqqytfbr00itstjkale6hyzq,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,2/17  Program office expedited an order for 2 internal staple finishers and can be installed with installation.  Both finishers – one for HQ (OIG) and the other for printer in inventory.,2,17,2025-02-25T22:00:00.000Z,2025,
cmqqytfbb00irstjkdluo8oaz,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,2/18:  COR submitted PR (PR-OFA-26-00302) for 2 printer accessories (internal stapler Finishers) for Lexmark 833G printer – for 2 offices (OIG and another Ofc. @ HQ).,2,18,2025-02-25T22:00:00.000Z,2025,
cmqqytfak00instjkizzu44vr,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,3/20:  2 staples finishers were received and confirmed by Landover Warehouse.,3,20,2025-03-25T21:00:00.000Z,2025,
cmqqytfax00ipstjk490vu487,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,3/20:  Contract fully awarded,3,20,2025-03-25T21:00:00.000Z,2025,
cmqqytfa600ilstjk9epwqaj4,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,3/23:  Invoice received and COR approved invoice in IPP,3,23,2025-03-25T21:00:00.000Z,2025,
cmqqytf9s00ijstjkes2jibyf,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,4/1:  Invoice approved by COR in IPP.,4,1,2025-04-08T21:00:00.000Z,2025,
cmqqytf5s00hxstjkl9cwnxmb,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,4/18:  COR Submitted PWS to the Program office to get their review and edits.,4,18,2025-04-22T21:00:00.000Z,2025,
cmqqytf0x00gzstjkhtw6ktu1,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,4/21:  RTP Facilities has a shredding event planned for NCC in July.  COR reached out to confirm event can accommodate confidential documents.  Awaiting confirmation.,4,21,2025-04-22T21:00:00.000Z,2025,
cmqqytf0o00gxstjkctud2qaq,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,5/04:  * No contract or purchase order anticipated at this time.  RTP Facilities has a shredding event planned for NCC in July.  COR confirmed with Facilities that the shredding event planned for the NCC will apply to confidential business information.,5,4,2025-05-06T21:00:00.000Z,2025,
cmqqytf4u00hrstjk7n7qze70,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,5/21:,5,21,2025-06-03T21:00:00.000Z,2025,
cmqqytf4i00hpstjkaam6euji,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,5/27:,5,27,2025-06-03T21:00:00.000Z,2025,
cmqqytf0e00gvstjkvpngbhni,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,6/01:  No new update.,6,1,2025-06-03T21:00:00.000Z,2025,
cmqqytf3t00hlstjk3r3v56v1,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,6/1:  Both IT Service Branch Section and Endpoint Services Branch have concluded that the task of Print Queue Management will be added to new MPS Contract Recompete.,6,1,2025-06-03T21:00:00.000Z,2025,
cmqqyteus00fnstjkry9mwe4x,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,"6/1:  FITARA is not required for this recompete, determined in previous recompete that this was not an IT program",6,1,2025-06-03T21:00:00.000Z,2025,
cmqqyteuh00flstjkxklr23i3,import-shela-poke-williams,Shela Poke-Williams,IMCS-VI,6/1: Working on IGCE to get compliance memo started.  There are 7 task orders that did not transfer to Brad Werwick's office and we do not have access to them in EAS.  We are working to get the documentation for them in order to complete the IGCE.,6,1,2025-06-03T21:00:00.000Z,2025,
cmqqytgj300oystjk05yuakqr,import-garrett-hayes,Garrett Hayes,Infotech 2024,01/14: Awarded 01/14.,1,14,2025-01-14T22:00:00.000Z,2025,
cmqqytghc00oistjka1yr3sa7,import-garrett-hayes,Garrett Hayes,Infotech 2024,01/27: Awarded 01/14. No updates until award effort. These will start again around 10/25.,1,27,2025-01-28T22:00:00.000Z,2025,
cmqqytgky00pestjkcnhkq2ym,import-garrett-hayes,Garrett Hayes,Infotech 2024,1/14: Funding PR (PR-OMS-25-00379) submitted for 1st order.  Waiting on funding to be available.,1,14,2025-01-14T22:00:00.000Z,2025,
